status,year,wave,wave_f,sub_reg,sub_reg_f,st,st_f,sp_code,common,mode_fx,mode_fx_f,area_x,area_x_f,estclaim,estclvar,estharv,esthvar,landing,land_var,estrel,estrlvar,tot_cat,lbs_ab1,var_lbs,wgt_ab1,var_wab1,tot_len,vartotlen,miss_fish,ALT_FLAG
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,1000000000,UNIDENTIFIED FISH,3,SHORE,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"188,878","32,448,381,830","188,878",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,1000000000,UNIDENTIFIED FISH,3,SHORE,5,INLAND,0,0,0,0,0,0,"53,960","2,824,596,800","53,960",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8707020101,NURSE SHARK,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"5,541","19,914,822","5,541",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8707020101,NURSE SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"14,475","187,903,043","14,475",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8707020101,NURSE SHARK,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"1,470","2,281,545","1,470",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,3,SHORE,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"46,640","1,933,378,036","46,640",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,5,CHARTER BOAT,5,INLAND,0,0,0,0,0,0,"1,588","7,445,230","1,588",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"86,847","4,345,467,827","86,847",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020301,ATLANTIC SHARPNOSE SHARK,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"7,885","60,075,386","7,885",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020301,ATLANTIC SHARPNOSE SHARK,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"3,832","15,140,186","3,832",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020500,REQUIEM SHARK GENUS,3,SHORE,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"12,636","155,099,667","12,636",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020502,BULL SHARK,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"5,541","19,914,822","5,541",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8713040100,SKATE GENUS,5,CHARTER BOAT,5,INLAND,0,0,0,0,0,0,195,"15,871",195,0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8713050000,STINGRAY FAMILY,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"14,475","189,033,215","14,475",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8713050100,STINGRAY GENUS,3,SHORE,5,INLAND,0,0,0,0,0,0,"4,674","22,293,771","4,674",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8713050100,STINGRAY GENUS,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"19,443","176,088,023","19,443",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8738010101,LADYFISH,3,SHORE,5,INLAND,0,0,0,0,0,0,"321,241","70,902,334,123","321,241",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8738010101,LADYFISH,5,CHARTER BOAT,5,INLAND,0,0,0,0,0,0,"1,479","604,321","1,479",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8738010101,LADYFISH,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"1,431","2,311,541","1,431",0,0,0,0,0,0,0,0
FINAL,2020,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8738010101,LADYFISH,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"59,149","614,741,856","59,149",0,0,0,0,0,0,0,0
