status,year,wave,wave_f,sub_reg,sub_reg_f,st,st_f,sp_code,common,mode_fx,mode_fx_f,area_x,area_x_f,estclaim,estclvar,estharv,esthvar,landing,land_var,estrel,estrlvar,tot_cat,lbs_ab1,var_lbs,wgt_ab1,var_wab1,tot_len,vartotlen,miss_fish,ALT_FLAG
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,1000000002,UNIDENTIFIED (SHARKS),7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"1,573","1,861,182","1,573",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020201,TIGER SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,300,"99,908",300,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,4,PARTY BOAT,1,OCEAN (<= 3 MI),18,227,0,0,18,227,35,536,53,45,"1,217",20,250,"10,553","76,250,208",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,4,PARTY BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,5,8,5,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,4,PARTY BOAT,5,INLAND,0,0,0,0,0,0,214,"7,727",214,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,5,CHARTER BOAT,5,INLAND,0,0,0,0,0,0,45,"2,161",45,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"3,320","12,622,434","3,320",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"1,468","2,218,288","1,468",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,7,PRIVATE/RENTAL BOAT,5,INLAND,"1,508","851,942",0,0,"1,508","851,942","27,331","277,847,861","28,839","6,150","14,178,614","2,790","2,917,254","1,047,000","403,187,482,175",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020601,BLUE SHARK,5,CHARTER BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,146,"15,871",146,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020601,BLUE SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"1,328","1,393,590","1,328",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,3,SHORE,5,INLAND,0,0,0,0,0,0,"20,617","387,877,024","20,617",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,4,PARTY BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,10,87,10,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,4,PARTY BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,20,158,20,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,4,PARTY BOAT,5,INLAND,0,0,0,0,0,0,437,"142,055",437,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,5,CHARTER BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,5,CHARTER BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,173,"23,044",173,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,5,CHARTER BOAT,5,INLAND,0,0,0,0,0,0,109,"4,441",109,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"16,339","53,243,413","16,339",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"13,270","44,767,904","13,270",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,"1,362","652,498","1,362","652,498","154,528","1,939,919,891","155,891",0,0,0,0,0,0,"1,362",0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010201,SPINY DOGFISH,4,PARTY BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,12,2,12,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010201,SPINY DOGFISH,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"1,984","4,816,350","1,984",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713000000,UNIDENTIFIED SKATE OR RAY,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,244,"57,281",244,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,4,PARTY BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,9,61,9,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,4,PARTY BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,7,14,7,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,4,PARTY BOAT,5,INLAND,0,0,0,0,0,0,119,"8,764",119,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"3,115","4,001,942","3,115",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,539,"178,777",539,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"32,697","234,692,365","32,697",0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040113,CLEARNOSE SKATE,4,PARTY BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040113,CLEARNOSE SKATE,4,PARTY BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,5,6,5,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040113,CLEARNOSE SKATE,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,248,"75,255",248,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040113,CLEARNOSE SKATE,7,PRIVATE/RENTAL BOAT,5,INLAND,436,"189,524",0,0,436,"189,524",451,"192,435",887,"2,500","6,226,871","1,134","1,281,180","213,264","45,319,103,944",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040116,WINTER SKATE,4,PARTY BOAT,1,OCEAN (<= 3 MI),0,0,8,50,8,50,0,0,8,36,"1,006",16,207,"3,920","11,918,620",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040131,SMOOTH SKATE,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,512,"269,218",512,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8741000000,UNIDENTIFIED EEL,4,PARTY BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8741010101,AMERICAN EEL,3,SHORE,5,INLAND,0,0,0,0,0,0,353,"138,810",353,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010201,ATLANTIC HERRING,7,PRIVATE/RENTAL BOAT,5,INLAND,"1,478","2,661,428",0,0,"1,478","2,661,428",0,0,"1,478",733,"654,846",332,"134,735","412,987","207,911,384,079",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010400,MENHADEN GENUS,3,SHORE,5,INLAND,0,0,0,0,0,0,110,"14,162",110,0,0,0,0,0,0,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010401,ATLANTIC MENHADEN,3,SHORE,5,INLAND,"2,951","9,424,719",84,"9,660","3,035","9,434,379",585,"436,038","3,620","2,623","7,225,810","1,190","1,486,712","981,248",1008456578613,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010401,ATLANTIC MENHADEN,5,CHARTER BOAT,5,INLAND,0,0,"1,350","1,786,006","1,350","1,786,006",0,0,"1,350","1,085","1,153,774",492,"237,389","379,725","141,326,085,098",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010401,ATLANTIC MENHADEN,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),"4,881","25,672,159",0,0,"4,881","25,672,159",0,0,"4,881","3,587","13,863,711","1,627","2,852,462","1,370,717",2024695470619,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010401,ATLANTIC MENHADEN,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,"2,334","5,337,534","2,334","5,337,534","4,669","21,350,135","7,003","1,544","2,334,763",700,"480,378","621,324","378,135,943,425",0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8747010401,ATLANTIC MENHADEN,7,PRIVATE/RENTAL BOAT,5,INLAND,"4,724","10,997,956","25,955","138,125,492","30,679","149,123,447","56,311","680,061,003","86,990","24,261","88,963,007","11,005","18,304,162","8,656,010",11845119844871,0,0
FINAL,2019,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8755010305,ATLANTIC SALMON,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,147,"16,582",147,0,0,0,0,0,0,0,0
