status,mode_fx,year,wave,sub_reg,st,area_x,estrips,NUMVAR
FINAL,3,2019,1,6,12,1,"2,270,405",547142455047
FINAL,3,2019,1,6,12,2,0,0
FINAL,3,2019,1,6,12,5,"1,275,193",227255896673
FINAL,5,2019,1,6,12,1,"10,775",6874060.983
FINAL,5,2019,1,6,12,2,"7,079",3527453.4557
FINAL,5,2019,1,6,12,5,"9,699",5885941.9668
FINAL,7,2019,1,6,12,1,"267,755",8093792905.3
FINAL,7,2019,1,6,12,2,"483,593",30208164854
FINAL,7,2019,1,6,12,5,"1,264,352",101146049158
FINAL,3,2019,1,6,37,1,"559,812",23408600334
FINAL,3,2019,1,6,37,2,0,0
FINAL,3,2019,1,6,37,3,0,0
FINAL,3,2019,1,6,37,4,0,0
FINAL,3,2019,1,6,37,5,"443,325",20278528813
FINAL,5,2019,1,6,37,1,0,0
FINAL,5,2019,1,6,37,2,366,28873.346409
FINAL,5,2019,1,6,37,5,391,17356.934827
FINAL,7,2019,1,6,37,1,"4,327",4382029.9761
FINAL,7,2019,1,6,37,2,"9,663",90367440.357
FINAL,7,2019,1,6,37,3,0,0
FINAL,7,2019,1,6,37,4,0,0
FINAL,7,2019,1,6,37,5,"349,386",4800968534.6
FINAL,3,2019,1,7,1,1,"349,045",7147582978.6
FINAL,3,2019,1,7,1,2,0,0
FINAL,3,2019,1,7,1,3,0,0
FINAL,3,2019,1,7,1,4,0,0
FINAL,3,2019,1,7,1,5,"81,232",3193519602.7
FINAL,5,2019,1,7,1,1,907,115669.19324
FINAL,5,2019,1,7,1,2,0,0
FINAL,5,2019,1,7,1,5,0,0
FINAL,7,2019,1,7,1,1,"34,393",474090908.06
FINAL,7,2019,1,7,1,2,"58,181",541775346.38
FINAL,7,2019,1,7,1,3,0,0
FINAL,7,2019,1,7,1,4,0,0
FINAL,7,2019,1,7,1,5,"93,288",1381911279.3
FINAL,3,2019,1,7,12,3,"551,468",43110307697
FINAL,3,2019,1,7,12,4,0,0
FINAL,3,2019,1,7,12,5,"2,550,253",497371704647
FINAL,5,2019,1,7,12,3,"21,517",10576573.685
FINAL,5,2019,1,7,12,4,"45,370",41124451.664
FINAL,5,2019,1,7,12,5,"36,472",34432493.075
FINAL,7,2019,1,7,12,3,"634,088",32583852195
FINAL,7,2019,1,7,12,4,"169,518",6766584656.6
FINAL,7,2019,1,7,12,5,"1,304,958",118392774616
FINAL,3,2019,1,7,28,1,0,0
FINAL,3,2019,1,7,28,2,0,0
FINAL,3,2019,1,7,28,3,0,0
FINAL,3,2019,1,7,28,4,0,0
FINAL,3,2019,1,7,28,5,"239,195",2062300220.8
FINAL,5,2019,1,7,28,1,0,0
FINAL,5,2019,1,7,28,2,0,0
FINAL,5,2019,1,7,28,5,194,21311.349266
FINAL,7,2019,1,7,28,1,0,0
FINAL,7,2019,1,7,28,2,0,0
FINAL,7,2019,1,7,28,3,0,0
FINAL,7,2019,1,7,28,4,0,0
FINAL,7,2019,1,7,28,5,"107,771",580640655.5
FINAL,3,2019,2,4,9,1,0,0
FINAL,3,2019,2,4,9,2,0,0
FINAL,3,2019,2,4,9,3,0,0
FINAL,3,2019,2,4,9,4,0,0
FINAL,3,2019,2,4,9,5,"227,240",1092550837.8
FINAL,5,2019,2,4,9,1,0,0
FINAL,5,2019,2,4,9,2,0,0
FINAL,5,2019,2,4,9,5,0,0
FINAL,7,2019,2,4,9,1,0,0
FINAL,7,2019,2,4,9,2,0,0
