DATA_VALUE,YEAR,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
7495306,2000,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
8040479,2001,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6426777,2002,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6744655,2003,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7508686,2004,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6526814,2005,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6590688,2006,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7019252,2007,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7474907,2008,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6443720,2009,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6967791,2010,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
5079765,2011,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4663610,2012,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4108090,2013,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4769187,2014,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
3994618,2015,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4065307,2016,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
3863409,2017,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2183374,2018,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2799876,2019,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2159968,2020,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2158817,2021,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
831,2000,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
841,2001,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
935,2002,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
851,2003,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
813,2004,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
800,2005,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
833,2006,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
774,2007,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
744,2008,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
743,2009,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
742,2010,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
767,2011,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
805,2012,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
749,2013,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
710,2014,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
640,2015,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
655,2016,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
697,2017,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
521,2018,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
