"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [count]",21286616.7088892,4446502.85852628,0.2213795834685
"2","1982","Stratum_1"," [count]",1740768.59239958,309241.01802243,0.179841230263867
"3","1982","Stratum_1"," [count]",932619.992615749,228486.509974519,0.247484754761553
"1","1983","Stratum_1"," [count]",16814916.8403804,3869396.84821597,0.24391841921662
"2","1983","Stratum_1"," [count]",1469880.35285913,327477.63102453,0.227892109466133
"3","1983","Stratum_1"," [count]",675410.016907845,173223.01994721,0.259351516367434
"1","1984","Stratum_1"," [count]",61467221.9660874,13324066.8450469,0.235823483885996
"2","1984","Stratum_1"," [count]",1251100.64156083,294831.698771332,0.252244603170539
"3","1984","Stratum_1"," [count]",1009162.98531995,203828.595115122,0.204208286448503
"1","1985","Stratum_1"," [count]",22271111.0703659,4825209.28554571,0.234795609542749
"2","1985","Stratum_1"," [count]",2708096.94577139,505503.86614975,0.195932003957038
"3","1985","Stratum_1"," [count]",1430775.11874099,268231.347209549,0.189296387156209
"1","1986","Stratum_1"," [count]",13536099.0789856,3538962.46831345,0.282054481599006
"2","1986","Stratum_1"," [count]",886713.797963835,249423.785322894,0.297333942173966
"3","1986","Stratum_1"," [count]",1644639.91559978,304474.54416166,0.186714734289453
"1","1987","Stratum_1"," [count]",10577300.5265939,3144834.81806711,0.322498042914128
"2","1987","Stratum_1"," [count]",681164.364250717,224818.79881106,0.351826302858915
"3","1987","Stratum_1"," [count]",2152681.78445856,361098.596140356,0.168402553567525
"1","1988","Stratum_1"," [count]",18976632.2395224,15824794.0442192,1.02204044779864
"2","1988","Stratum_1"," [count]",4974985.68813211,3107749.84074545,0.805202583797232
"3","1988","Stratum_1"," [count]",3843930.47537957,2111781.56774782,0.574221980399999
"1","1989","Stratum_1"," [count]",59441716.1095618,11995134.5029607,0.217732871290558
"2","1989","Stratum_1"," [count]",619120.934566387,204865.83488424,0.360832743637674
"3","1989","Stratum_1"," [count]",688762.117178485,160947.670171466,0.236177550257227
"1","1990","Stratum_1"," [count]",8090299.05983436,1995735.26122296,0.267879428052054
"2","1990","Stratum_1"," [count]",2225437.66601315,482001.741593148,0.230252019588884
"3","1990","Stratum_1"," [count]",966111.356855754,220111.331991533,0.229911830907255
"1","1991","Stratum_1"," [count]",12273459.7666708,3889148.75049543,0.342009725706159
"2","1991","Stratum_1"," [count]",427837.382362301,137716.772594431,0.341394740512741
"3","1991","Stratum_1"," [count]",760089.022605827,195563.244353567,0.260339475066455
"1","1992","Stratum_1"," [count]",13183205.2849135,3730360.10014426,0.305370692367913
"2","1992","Stratum_1"," [count]",585692.349998507,179035.989273704,0.323953929384101
"3","1992","Stratum_1"," [count]",1001892.07810737,203239.484804275,0.204672287352644
"1","1993","Stratum_1"," [count]",4091403.60085523,1465809.38345071,0.393481080311715
"2","1993","Stratum_1"," [count]",416671.942926072,176141.256383341,0.464244293220314
"3","1993","Stratum_1"," [count]",935998.418659891,195062.759857879,0.209621565800564
"1","1994","Stratum_1"," [count]",18923680.319364,4887273.3985082,0.277989097283252
"2","1994","Stratum_1"," [count]",829445.800324348,235353.684688838,0.300852191263255
"3","1994","Stratum_1"," [count]",1437610.55385666,245535.802634525,0.171715745514914
"1","1995","Stratum_1"," [count]",14582298.9306373,3115738.41686584,0.231634061248478
"2","1995","Stratum_1"," [count]",2047941.19051375,433286.343686761,0.221490952362097
"3","1995","Stratum_1"," [count]",1361261.46803353,282681.079137985,0.209494419759532
"1","1996","Stratum_1"," [count]",9749962.44359858,2752615.59110945,0.306486570602095
"2","1996","Stratum_1"," [count]",1572855.74184513,356507.420450795,0.239708916188487
"3","1996","Stratum_1"," [count]",672251.640415846,176493.759400466,0.265309340942238
"1","1997","Stratum_1"," [count]",8910103.60329673,2631939.95153522,0.32011941810035
"2","1997","Stratum_1"," [count]",545867.219905109,165727.190031901,0.324488876183349
"3","1997","Stratum_1"," [count]",906424.379154174,207407.342065584,0.230914195461526
"1","1998","Stratum_1"," [count]",7708054.45467409,2376865.79170853,0.33495661169494
"2","1998","Stratum_1"," [count]",711625.323219291,221697.697274516,0.332862719097716
"3","1998","Stratum_1"," [count]",1178413.7186428,235999.389748162,0.201390040708733
"1","1999","Stratum_1"," [count]",16026918.5529115,3705569.65142365,0.247610821681946
"2","1999","Stratum_1"," [count]",674947.459717241,163373.166263429,0.252556867184729
"3","1999","Stratum_1"," [count]",1163321.3025521,233203.884325708,0.201650574409264
"1","2000","Stratum_1"," [count]",6868488.19801602,1929912.95561204,0.302067069607109
"2","2000","Stratum_1"," [count]",1129829.82954905,270315.521748584,0.250799261783376
"3","2000","Stratum_1"," [count]",638385.989418647,171478.186238561,0.271115843414744
"1","2001","Stratum_1"," [count]",12272914.0824308,3036240.96762343,0.266692690229997
"2","2001","Stratum_1"," [count]",1040530.79017333,244556.568376881,0.245137800347862
"3","2001","Stratum_1"," [count]",1146280.57770573,257888.840869245,0.227404497759452
"1","2002","Stratum_1"," [count]",14622804.7706558,3610789.52623878,0.267880337825624
"2","2002","Stratum_1"," [count]",2024929.8754592,404624.661521557,0.212173712333443
"3","2002","Stratum_1"," [count]",1240330.23050543,258180.740410557,0.209834183085405
"1","2003","Stratum_1"," [count]",45062833.5313447,10031326.30803,0.24209246100205
"2","2003","Stratum_1"," [count]",931523.203249848,258904.960184339,0.301645848368551
"3","2003","Stratum_1"," [count]",450305.62852577,135838.292318395,0.306283762872013
"1","2004","Stratum_1"," [count]",17988189.2485545,4367962.96297945,0.264492759909602
"2","2004","Stratum_1"," [count]",1741097.7077875,377438.712593092,0.230229206775492
"3","2004","Stratum_1"," [count]",1704228.79606307,314552.852930353,0.185483684130224
"1","2005","Stratum_1"," [count]",19188431.2798988,5000460.66404941,0.282611602701713
