"","Category","m","Year","COG_hat","SE"
"1","1","1","1982","-23.4492407025679","17.8186790816864"
"2","1","1","1983","-25.4009533656497","18.1316741922571"
"3","1","1","1984","-49.2840135154382","22.8141049261145"
"4","1","1","1985","-31.2989933417969","23.4826372665675"
"5","1","1","1986","-40.0386576346927","21.5319663659135"
"6","1","1","1987","-41.2156000116559","23.4507022997538"
"7","1","1","1988","-17.2015351025442","33.6231073016972"
"8","1","1","1989","-28.0819034018106","24.8454218863069"
"9","1","1","1990","-23.5913153024512","24.5670831422345"
"10","1","1","1991","-17.9181882464285","22.7668363294397"
"11","1","1","1992","14.13966374579","27.2017727409977"
"12","1","1","1993","-8.97359107488946","30.9975698928474"
"13","1","1","1994","28.2423039789907","28.8619288701093"
"14","1","1","1995","0.931611004872894","28.7489701462122"
"15","1","1","1996","-30.9981665444509","23.6397317696919"
"16","1","1","1997","-17.0825917052101","26.0396789794402"
"17","1","1","1998","-15.6710656258667","27.2209116008871"
"18","1","1","1999","9.18941012568007","23.1570945812809"
"19","1","1","2000","-44.429231202853","17.8185200855699"
"20","1","1","2001","19.6527991585965","25.9655913023097"
"21","1","1","2002","-12.9126976837554","26.5310301167053"
"22","1","1","2003","-24.415948975739","29.3597929964362"
"23","1","1","2004","-19.6699259646486","29.1774477027011"
"24","1","1","2005","-43.5504402651785","23.2454694048669"
"25","1","1","2006","2.20935342077678","27.3773877047759"
"26","1","1","2007","-20.6188250361586","22.9387530748249"
"27","1","1","2008","-21.9374991453479","28.3573092607424"
"28","1","1","2009","-41.6059882528056","21.467597473946"
"29","1","1","2010","-13.5806670317078","29.4174135407547"
"30","1","1","2011","-25.5857302439257","25.3163688059696"
"31","1","1","2012","-17.9491909478247","25.5019067731007"
"32","1","1","2013","54.8423112507191","38.8807048149748"
"33","1","1","2014","5.74123247395768","24.5553581328993"
"34","1","1","2015","-8.38021211850843","28.0101059891583"
"35","1","1","2016","26.4374967165438","32.9678444024168"
"36","1","1","2017","-17.2015351025442","33.6231073016972"
"37","1","1","2018","-3.51567532227676","20.9857030119351"
"38","1","1","2019","-2.29758535162704","34.2668498286585"
"39","1","2","1982","4212.20452927196","26.0522334106219"
"40","1","2","1983","4205.37403152179","28.4413051826639"
"41","1","2","1984","4162.7841721565","35.0578895870616"
"42","1","2","1985","4187.61359416268","34.7822918747532"
"43","1","2","1986","4180.58463065665","32.8176778215882"
"44","1","2","1987","4180.51281008494","35.4874931881611"
"45","1","2","1988","4219.74819763561","50.6916918234027"
"46","1","2","1989","4201.32656306814","36.7289975815906"
"47","1","2","1990","4207.63314980073","36.3431128881419"
"48","1","2","1991","4226.76034271475","34.5591332277431"
"49","1","2","1992","4272.99261359754","40.5331407690159"
"50","1","2","1993","4228.92572566136","46.8909101925625"
"51","1","2","1994","4288.24337435823","41.9821496768554"
"52","1","2","1995","4250.27583215583","41.9190585453893"
"53","1","2","1996","4204.91534802895","36.3717131588345"
"54","1","2","1997","4217.25213931795","37.8885391779491"
"55","1","2","1998","4219.72335001128","40.6767534037899"
"56","1","2","1999","4263.11144569007","32.8310982916606"
"57","1","2","2000","4183.97310961154","27.6124834226065"
"58","1","2","2001","4285.8534884627","38.473608991733"
"59","1","2","2002","4230.43473608219","39.2546349829301"
"60","1","2","2003","4200.44217353116","44.1134565550084"
"61","1","2","2004","4210.22419406366","44.4704143374513"
"62","1","2","2005","4171.61263061201","35.4967657179221"
"63","1","2","2006","4241.80263386013","39.82422682799"
"64","1","2","2007","4225.91011623058","35.6890476822209"
"65","1","2","2008","4207.99272827533","42.697875823967"
"66","1","2","2009","4185.9161334551","33.0414737882584"
"67","1","2","2010","4215.93485240771","40.7043137292305"
"68","1","2","2011","4199.8400116608","37.8950737388739"
"69","1","2","2012","4214.62034735616","37.7023822616704"
"70","1","2","2013","4310.73094209935","49.303392365695"
"71","1","2","2014","4266.09151357731","36.0601721356947"
"72","1","2","2015","4233.5761233706","39.7353965981373"
"73","1","2","2016","4276.38583080386","44.5176582454272"
"74","1","2","2017","4219.74819763561","50.6916918234027"
"75","1","2","2018","4257.06959373937","32.2250901924926"
"76","1","2","2019","4239.33467659546","48.5080369907091"
"77","2","1","1982","17.8528993627642","28.6503788337672"
"78","2","1","1983","-14.5646530964995","29.8449026332042"
"79","2","1","1984","-26.048244526216","39.4208361344518"
"80","2","1","1985","-2.33350987776617","35.7871400589932"
"81","2","1","1986","-18.5968079127229","32.9404315562052"
"82","2","1","1987","-16.7322791786499","38.1981989191182"
