"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [count]",15427544.2657772,3473491.01918607,0.235228000502316
"2","1982","Stratum_1"," [count]",1419330.54291965,266283.54421626,0.190541794950964
"3","1982","Stratum_1"," [count]",863392.973616751,207509.49399717,0.243664084299433
"1","1983","Stratum_1"," [count]",12759264.4321466,3030801.07609661,0.249171610509743
"2","1983","Stratum_1"," [count]",1287329.30941883,294230.039634581,0.237745382518492
"3","1983","Stratum_1"," [count]",652078.399495715,166635.746490432,0.261961177645315
"1","1984","Stratum_1"," [count]",60312293.7862412,13676616.0048939,0.248247446965649
"2","1984","Stratum_1"," [count]",1228761.75543608,278982.580917356,0.244303827121768
"3","1984","Stratum_1"," [count]",1054957.37780783,213541.267197398,0.207193768482782
"1","1985","Stratum_1"," [count]",17714564.3155386,4053870.65709205,0.250416229949427
"2","1985","Stratum_1"," [count]",2301464.75332771,433247.11389872,0.200827714060452
"3","1985","Stratum_1"," [count]",1395978.19591421,260786.616904861,0.190327446573091
"1","1986","Stratum_1"," [count]",11977073.3729676,3201116.0656703,0.289633050392342
"2","1986","Stratum_1"," [count]",922355.451534584,253874.406757353,0.295287791766502
"3","1986","Stratum_1"," [count]",1715027.92420817,319250.535974847,0.190558661706435
"1","1987","Stratum_1"," [count]",8476800.2570189,2522288.92606974,0.322331831815658
"2","1987","Stratum_1"," [count]",656480.638686199,215179.746976579,0.354717575131869
"3","1987","Stratum_1"," [count]",2278394.48940529,374162.10510645,0.165918888938908
"1","1988","Stratum_1"," [count]",767309.259405733,497975.385357647,0.820967226579143
"2","1988","Stratum_1"," [count]",501740.023228653,375134.576364922,0.92750415826495
"3","1988","Stratum_1"," [count]",2867466.65254817,3913933.00950254,1.45928849255507
"1","1989","Stratum_1"," [count]",49607545.0383496,10496968.7772508,0.230870779957095
"2","1989","Stratum_1"," [count]",559147.005053195,183101.131865139,0.362613042111169
