"","Category","m","Year","COG_hat","SE"
"1","1","1","1982","-43.7700742585844","19.10594007719"
"2","1","1","1983","-59.4017990279857","20.2327520031906"
"3","1","1","1984","-63.9113152091234","19.9219490671747"
"4","1","1","1985","-61.683179716478","23.1235323454061"
"5","1","1","1986","-61.7464773854463","22.9939300026858"
"6","1","1","1987","-67.2592788461408","23.0463653196086"
"7","1","1","1988","-54.7794029201552","27.2923801602357"
"8","1","1","1989","-54.3462554384849","20.7300627530435"
"9","1","1","1990","-51.9232194896807","24.7266295316751"
"10","1","1","1991","-40.3316369299198","22.938066285072"
"11","1","1","1992","-40.3653233182679","26.2969216442728"
"12","1","1","1993","-56.6998680752662","31.4801841017237"
"13","1","1","1994","-26.1553452723699","26.0742302448058"
"14","1","1","1995","-48.8700798295554","34.623071663299"
"15","1","1","1996","-54.9306102569019","19.5223396940128"
"16","1","1","1997","-52.4233994052726","19.6871977715997"
"17","1","1","1998","-55.7735779201646","21.2396286535762"
"18","1","1","1999","-33.7617832870256","19.7786471076863"
"19","1","1","2000","-58.4297411011848","17.3520101816126"
"20","1","1","2001","-27.032843511509","30.5144029653924"
"21","1","1","2002","-52.3439813069264","23.648386859756"
"22","1","1","2003","-80.6352690791034","29.2155433349086"
"23","1","1","2004","-71.9478254390541","28.365091851706"
"24","1","1","2005","-60.5641061142947","22.4575636465544"
"25","1","1","2006","-43.3432373570046","28.164102935648"
"26","1","1","2007","-49.698949854931","21.0714153056269"
"27","1","1","2008","-51.9614983600645","24.7411028777639"
"28","1","1","2009","-64.7755314105314","20.9303982516631"
"29","1","1","2010","-50.5011215094437","25.6225353439871"
"30","1","1","2011","-52.8683106718395","19.4527042441673"
"31","1","1","2012","-49.5638951985204","20.7265835667671"
"32","1","1","2013","-20.7095553737975","31.9556032675997"
"33","1","1","2014","-33.4119651391759","22.4027221155121"
"34","1","1","2015","-53.0696845462344","21.3377959702358"
"35","1","1","2016","-30.135695715593","28.5187282381331"
"36","1","1","2017","-54.7794029201552","27.2923801602357"
"37","1","1","2018","-35.4907237349782","17.7126829349148"
"38","1","1","2019","-47.6217206482497","28.1886044883824"
"39","1","2","1982","4186.71591122415","25.7164088050529"
"40","1","2","1983","4162.18938623162","29.0270537973179"
"41","1","2","1984","4149.57032969108","29.83151430364"
"42","1","2","1985","4146.9106248109","35.150515498099"
"43","1","2","1986","4150.88332239184","33.8638860142161"
"44","1","2","1987","4146.31508392714","34.3292476677608"
"45","1","2","1988","4171.5572115191","43.5273681798686"
"46","1","2","1989","4172.59369682282","31.076161655655"
"47","1","2","1990","4166.80979200212","35.5868830417086"
"48","1","2","1991","4196.64361449751","33.8939748915972"
"49","1","2","1992","4196.38856059835","38.9196928320183"
"50","1","2","1993","4162.34354518683","46.5515610208342"
"51","1","2","1994","4216.85669746314","38.0161080326768"
"52","1","2","1995","4176.43316424638","48.2181938926774"
"53","1","2","1996","4178.35241647689","29.8846616640094"
"54","1","2","1997","4175.93008025847","29.5054248986367"
"55","1","2","1998","4165.98119859507","31.9203908920189"
"56","1","2","1999","4210.59300736271","28.7431315812574"
"57","1","2","2000","4168.45783017896","26.8422379538878"
"58","1","2","2001","4217.94295906961","44.1098602617584"
"59","1","2","2002","4177.68298766666","34.5887779318859"
"60","1","2","2003","4114.7061733004","41.9482064305743"
"61","1","2","2004","4131.38378702118","40.9110109914421"
"62","1","2","2005","4158.11044337519","33.9064056546877"
"63","1","2","2006","4178.89933296873","40.3608000826897"
"64","1","2","2007","4184.78611816618","31.5251714080547"
"65","1","2","2008","4176.79793437527","37.5495223758167"
"66","1","2","2009","4154.92082561941","31.2441544007777"
"67","1","2","2010","4174.29369969711","36.5755236260881"
"68","1","2","2011","4172.4566503633","30.5095097393553"
"69","1","2","2012","4178.02035552758","31.1885924221936"
"70","1","2","2013","4216.66941360343","43.679589570371"
"71","1","2","2014","4215.86949317509","33.5275936646975"
"72","1","2","2015","4178.69582448724","31.9874132850338"
"73","1","2","2016","4202.51003822107","38.8480995194481"
"74","1","2","2017","4171.5572115191","43.5273681798686"
"75","1","2","2018","4213.63190014049","26.7435838002338"
"76","1","2","2019","4185.77406118537","41.1096595658993"
"77","2","1","1982","15.8498185606713","34.7418315760783"
"78","2","1","1983","-29.9494023244648","36.8820630458809"
"79","2","1","1984","-32.3727708518243","38.8210729457193"
"80","2","1","1985","-34.9755265355803","33.8787409480737"
"81","2","1","1986","-33.3826750628818","34.4002046586893"
"82","2","1","1987","-40.7411331682958","36.9458056373414"
"83","2","1","1988","-17.4130837125635","50.2228781251745"
