"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [count]",14330610.147944,3309533.22291427,0.239875024307851
"2","1982","Stratum_1"," [count]",1352047.23855109,259338.985352585,0.194703018860035
"3","1982","Stratum_1"," [count]",926909.459424538,229495.959207798,0.250605020201787
"1","1983","Stratum_1"," [count]",11487914.5580138,2827205.81282484,0.25674379011943
"2","1983","Stratum_1"," [count]",1184622.50354081,278924.239757503,0.245160536772317
"3","1983","Stratum_1"," [count]",670692.963721804,172648.453622266,0.263515729712259
"1","1984","Stratum_1"," [count]",53065711.2128225,12547126.5149693,0.256719320536022
"2","1984","Stratum_1"," [count]",1116137.13665073,260386.78062275,0.250679034678771
"3","1984","Stratum_1"," [count]",1065623.52628844,216720.457834619,0.207798750465408
"1","1985","Stratum_1"," [count]",16853521.4454468,3829288.25844366,0.24660619001579
"2","1985","Stratum_1"," [count]",2281154.74182544,425769.703805979,0.1989812194462
"3","1985","Stratum_1"," [count]",1560000.29493362,314029.020789708,0.204926958021403
"1","1986","Stratum_1"," [count]",10486798.720456,2899411.00777695,0.297343202818707
"2","1986","Stratum_1"," [count]",833555.136429688,234382.589688751,0.301805329692657
"3","1986","Stratum_1"," [count]",1827021.23027774,345995.612962242,0.193667877647331
"1","1987","Stratum_1"," [count]",7087436.17373191,2219253.01152335,0.336123681331777
"2","1987","Stratum_1"," [count]",567053.551192462,191767.019199474,0.365895734564629
"3","1987","Stratum_1"," [count]",2252980.11380191,374214.268237899,0.167607154047516
"1","1988","Stratum_1"," [count]",771762.810645788,518306.996893675,0.847468384158496
"2","1988","Stratum_1"," [count]",498218.167269262,371027.574443469,0.927736253016772
"3","1988","Stratum_1"," [count]",2702334.80833243,3691538.00753773,1.45980408461365
"1","1989","Stratum_1"," [count]",41531321.0592072,9634719.33162131,0.251271907025962
"2","1989","Stratum_1"," [count]",490321.077496991,164651.235383701,0.372067273600518
"3","1989","Stratum_1"," [count]",692380.182787484,163034.943755194,0.240442002835136
"1","1990","Stratum_1"," [count]",5176135.14759776,1430826.08209937,0.298272121202871
"2","1990","Stratum_1"," [count]",1954502.78088009,459827.987598681,0.252925800572531
"3","1990","Stratum_1"," [count]",991329.734957632,222477.954667222,0.227965045365337
"1","1991","Stratum_1"," [count]",6993716.63431143,2346542.68004813,0.357510731514355
"2","1991","Stratum_1"," [count]",335973.838439512,113367.014394011,0.365655610186828
"3","1991","Stratum_1"," [count]",801078.426479843,207564.819424409,0.266220893468207
"1","1992","Stratum_1"," [count]",6642807.0020981,2054258.11060566,0.332103454639492
"2","1992","Stratum_1"," [count]",446485.035024895,141945.379790542,0.347850281258994
"3","1992","Stratum_1"," [count]",1031560.80744235,211975.689971985,0.210069177681228
"1","1993","Stratum_1"," [count]",1993929.88085196,760251.040967171,0.418516870618754
"2","1993","Stratum_1"," [count]",315428.77915154,136268.776642045,0.486639490800754
"3","1993","Stratum_1"," [count]",924246.145380168,197362.393211901,0.216727644791235
"1","1994","Stratum_1"," [count]",10735731.4307052,2964003.42210104,0.29580261033848
"2","1994","Stratum_1"," [count]",640540.55053994,189423.691253534,0.3218839879976
"3","1994","Stratum_1"," [count]",1476821.63674586,252639.309938651,0.173158183416777
"1","1995","Stratum_1"," [count]",8614005.93893869,2231133.7782536,0.284819788700144
"2","1995","Stratum_1"," [count]",1616093.9477163,414458.916598529,0.276359824550964
"3","1995","Stratum_1"," [count]",1389143.39503283,295569.567911381,0.214551627380372
"1","1996","Stratum_1"," [count]",6737650.0473868,2079878.42448769,0.32924071498155
"2","1996","Stratum_1"," [count]",1267773.43370618,305272.42045112,0.257204789386427
"3","1996","Stratum_1"," [count]",660261.908261747,171909.096764187,0.265816353138902
"1","1997","Stratum_1"," [count]",5313493.34447026,1724613.42541318,0.343833918701278
"2","1997","Stratum_1"," [count]",440023.888717666,136810.175007925,0.336066898326743
"3","1997","Stratum_1"," [count]",971360.146843582,222553.697930222,0.233153654322552
"1","1998","Stratum_1"," [count]",4606728.41925156,1475867.22591704,0.341502621754427
"2","1998","Stratum_1"," [count]",570422.216994873,178345.919839162,0.33919946773775
"3","1998","Stratum_1"," [count]",1310879.82851872,260364.81666544,0.201399602587785
"1","1999","Stratum_1"," [count]",10837054.1626584,2656350.77300403,0.259965843377479
"2","1999","Stratum_1"," [count]",529532.543560326,130612.608430822,0.26265276913624
"3","1999","Stratum_1"," [count]",1266756.45180059,263042.62401824,0.209811009410574
"1","2000","Stratum_1"," [count]",4295762.92810368,1351861.91163768,0.333985527342866
"2","2000","Stratum_1"," [count]",826387.345594214,222802.126496492,0.288901687697965
"3","2000","Stratum_1"," [count]",616200.940975153,163241.893637725,0.269608747929352
"1","2001","Stratum_1"," [count]",6273219.10224431,1734566.32448658,0.297372041504675
"2","2001","Stratum_1"," [count]",759797.9164904,200211.427855214,0.282799113255778
"3","2001","Stratum_1"," [count]",1115694.7014117,256471.149053613,0.23423613761545
"1","2002","Stratum_1"," [count]",8804696.63094751,2456833.58956112,0.299776988831893
"2","2002","Stratum_1"," [count]",1549504.78498464,341682.421685895,0.238508233009677
"3","2002","Stratum_1"," [count]",1233332.97523215,256244.711509957,0.210074482303798
"1","2003","Stratum_1"," [count]",24546199.7450552,5670076.69301438,0.25599759222902
"2","2003","Stratum_1"," [count]",625355.691892098,184286.803289509,0.332379468497147
"3","2003","Stratum_1"," [count]",399408.235069709,122882.648180316,0.317209081735137
"1","2004","Stratum_1"," [count]",9964946.04317247,2624736.95171994,0.289762235566424
"2","2004","Stratum_1"," [count]",1276878.99522288,311896.059900549,0.26631478454296
"3","2004","Stratum_1"," [count]",1670209.62398753,309816.295095,0.186891700979346
"1","2005","Stratum_1"," [count]",11952048.5744215,3324728.46571958,0.298773630972531
"2","2005","Stratum_1"," [count]",825940.878502804,245424.173718914,0.322265224111561
"3","2005","Stratum_1"," [count]",1439133.38878056,305910.975922603,0.215334278348862
"1","2006","Stratum_1"," [count]",16318526.533648,3837797.51616528,0.257251537429761
"2","2006","Stratum_1"," [count]",1004510.24704559,262418.505985592,0.27963990913801
"3","2006","Stratum_1"," [count]",1141590.00556535,209844.41312993,0.185778798045026
"1","2007","Stratum_1"," [count]",10124378.0933688,2843421.68763953,0.30189079528768
"2","2007","Stratum_1"," [count]",709852.555718114,198800.746594773,0.302330796343205
"3","2007","Stratum_1"," [count]",978113.664991545,198696.610385108,0.205527522228283
"1","2008","Stratum_1"," [count]",9225294.79903263,2470493.76842872,0.288828702554379
"2","2008","Stratum_1"," [count]",687225.108100132,198462.390056188,0.313914775243802
"3","2008","Stratum_1"," [count]",1522299.27388619,311888.566690044,0.20769901837797
"1","2009","Stratum_1"," [count]",15591143.3770855,4709630.53948359,0.32671501744062
"2","2009","Stratum_1"," [count]",1568844.22667539,424439.769066167,0.292290591258869
"3","2009","Stratum_1"," [count]",1080905.1470936,293495.460699169,0.277383264512672
"1","2010","Stratum_1"," [count]",19242615.0402861,5876256.76763075,0.328866797644572
"2","2010","Stratum_1"," [count]",1925682.79588166,445747.030290972,0.24289997033931
"3","2010","Stratum_1"," [count]",1795102.37394903,390031.606164947,0.218953387219774
"1","2011","Stratum_1"," [count]",22677643.6593595,6085091.60474858,0.293512301474893
"2","2011","Stratum_1"," [count]",1278546.3513797,357224.772289327,0.302582219743026
"3","2011","Stratum_1"," [count]",825708.547986494,205382.548102813,0.252756067557639
"1","2012","Stratum_1"," [count]",9517836.96646031,2870945.10049708,0.324606741178647
"2","2012","Stratum_1"," [count]",1444868.94154492,371443.082800757,0.274907887654275
"3","2012","Stratum_1"," [count]",1137746.61085502,283786.383042542,0.251381802789523
"1","2013","Stratum_1"," [count]",4679466.163698,2032661.56530266,0.47461687118863
"2","2013","Stratum_1"," [count]",193758.651065492,95994.7132064216,0.544355217857316
"3","2013","Stratum_1"," [count]",434013.607899795,162706.478915858,0.387852784519152
"1","2014","Stratum_1"," [count]",7026621.37130582,2235378.72865278,0.33824963568152
"2","2014","Stratum_1"," [count]",805982.651731322,246603.993725718,0.324594927646987
"3","2014","Stratum_1"," [count]",450603.537359412,153020.595087223,0.350011877549051
"1","2015","Stratum_1"," [count]",4747728.72794365,1869530.82570422,0.425281252226579
"2","2015","Stratum_1"," [count]",392669.564280831,161640.67240085,0.451621956554041
"3","2015","Stratum_1"," [count]",402213.514350276,159879.799683281,0.411458126188259
"1","2016","Stratum_1"," [count]",6509319.69726716,2211222.5992408,0.367711855913047
"2","2016","Stratum_1"," [count]",522796.861785435,179487.637743918,0.369597445211142
"3","2016","Stratum_1"," [count]",84899.8375075834,55687.4838591284,0.684916192437077
"1","2017","Stratum_1"," [count]",771762.810645788,518306.996893675,0.847468384158496
"2","2017","Stratum_1"," [count]",498218.167269262,371027.574443469,0.927736253016772
"3","2017","Stratum_1"," [count]",2702334.80833243,3691538.00753773,1.45980408461365
"1","2018","Stratum_1"," [count]",12888139.0867853,4301424.34348115,0.35767016333524
"2","2018","Stratum_1"," [count]",578657.165610123,217302.532674265,0.405701615203403
"3","2018","Stratum_1"," [count]",61570.55096956,49056.7403523436,0.833047731433776
"1","2019","Stratum_1"," [count]",2902848.19973795,1135908.16809864,0.422839711938827
"2","2019","Stratum_1"," [count]",1223709.82834737,356144.861403252,0.315965775200064
"3","2019","Stratum_1"," [count]",65229.2485810548,52752.4651847707,0.838059655169429
