"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1964","Stratum_1"," [kg]",1402771.97634989,1504764.86057045,1.2015101326444
"1","1965","Stratum_1"," [kg]",131747.319098091,69306.9270281598,0.605133459362523
"1","1966","Stratum_1"," [kg]",1945736.93239284,2936033.95874893,1.70595067018371
"1","1967","Stratum_1"," [kg]",3844343.48918449,4085419.29810295,1.19901260681841
"1","1968","Stratum_1"," [kg]",175826.754588522,264991.523545837,1.71353223116182
"1","1969","Stratum_1"," [kg]",8789876.37129828,5526547.95850436,0.688542787306567
"1","1970","Stratum_1"," [kg]",1024017.69700694,1096296.18115458,1.20414599799795
"1","1971","Stratum_1"," [kg]",12006123.0801467,4782414.80023287,0.419018351602664
"1","1972","Stratum_1"," [kg]",5335773.66025532,1926944.6200047,0.378212471147178
"1","1973","Stratum_1"," [kg]",4793875.20501537,1504194.74321582,0.335488925407624
"1","1974","Stratum_1"," [kg]",12498024.3407848,3285363.10244087,0.27292249535817
"1","1975","Stratum_1"," [kg]",20551060.4640478,5033141.19809621,0.25507065148917
"1","1976","Stratum_1"," [kg]",11485612.7643808,2451754.14239618,0.222923967576083
"1","1977","Stratum_1"," [kg]",14205394.9952526,2960270.93497787,0.215849351775519
"1","1978","Stratum_1"," [kg]",15302915.7589256,2690557.04499643,0.180830271899215
"1","1979","Stratum_1"," [kg]",13385763.2184467,2329875.56835884,0.177908133384617
"1","1980","Stratum_1"," [kg]",11008807.3647266,2315923.70531714,0.21678945447039
"1","1981","Stratum_1"," [kg]",18517823.4322607,3302565.90638426,0.183431620636669
"1","1982","Stratum_1"," [kg]",8693598.25041993,1723785.30880531,0.203111852608892
"1","1983","Stratum_1"," [kg]",8751938.43264147,1819772.80814616,0.214317348677974
"1","1984","Stratum_1"," [kg]",14089008.5737894,2566231.96350982,0.188733318809703
"1","1985","Stratum_1"," [kg]",12027075.1487825,2180688.08616653,0.187241048889412
"1","1986","Stratum_1"," [kg]",12297193.4058238,2721934.27426946,0.228212397535006
"1","1987","Stratum_1"," [kg]",16444588.2636905,3753307.70776963,0.23391575169042
"1","1988","Stratum_1"," [kg]",10213757.3942286,3365420.87771953,0.342449393041163
"1","1989","Stratum_1"," [kg]",11345113.6488792,2162258.53428057,0.196743639270933
"1","1990","Stratum_1"," [kg]",10788854.4733278,2347983.34640148,0.223493804935224
"1","1991","Stratum_1"," [kg]",7614666.69172458,2051700.04198085,0.279629359324168
"1","1992","Stratum_1"," [kg]",9090997.44157744,2171226.01861647,0.24557329821791
"1","1993","Stratum_1"," [kg]",7232948.13248467,1839150.35551501,0.26156808008
"1","1994","Stratum_1"," [kg]",13887141.5182484,2935923.15695231,0.217130735862564
"1","1995","Stratum_1"," [kg]",12139140.2324072,2492367.33160274,0.210042947137233
"1","1996","Stratum_1"," [kg]",7498707.12602052,1725851.1281921,0.237798815582917
"1","1997","Stratum_1"," [kg]",4676867.30032082,1151466.42722581,0.25264333043567
"1","1998","Stratum_1"," [kg]",7572697.03194978,1853920.24036659,0.25089992309744
"1","1999","Stratum_1"," [kg]",8649137.12268993,1831654.53258845,0.217963504115447
"1","2000","Stratum_1"," [kg]",6549547.79763018,1599201.02196067,0.25147933704731
"1","2001","Stratum_1"," [kg]",5760965.41796897,1246266.28821313,0.223312178164144
"1","2002","Stratum_1"," [kg]",7207338.10564781,1397122.178467,0.199977446716655
"1","2003","Stratum_1"," [kg]",4690627.68279035,969292.14770225,0.215223974623863
"1","2004","Stratum_1"," [kg]",14817756.4257201,3030951.57123171,0.211774773738339
"1","2005","Stratum_1"," [kg]",6807359.89992221,1514992.33086796,0.22854100982789
"1","2006","Stratum_1"," [kg]",6744967.69043532,1199196.82306453,0.184115789414239
"1","2007","Stratum_1"," [kg]",7438198.63039751,1591657.90515495,0.219382238384004
"1","2008","Stratum_1"," [kg]",6726821.27364218,1410606.00391987,0.215391794534261
"1","2009","Stratum_1"," [kg]",11573823.9406041,2671133.5071239,0.23916051128451
"1","2010","Stratum_1"," [kg]",20604596.5126928,4256025.94338722,0.21240560035131
"1","2011","Stratum_1"," [kg]",11265780.2102273,2138056.26970968,0.197055176502712
"1","2012","Stratum_1"," [kg]",12658182.320471,2885552.82830835,0.234534979349706
"1","2013","Stratum_1"," [kg]",2895317.34612655,931381.157515503,0.335296798617561
"1","2014","Stratum_1"," [kg]",6051647.08781824,1470300.4562113,0.251495796018508
"1","2015","Stratum_1"," [kg]",3107760.93935832,910274.556692618,0.304414142416097
"1","2016","Stratum_1"," [kg]",2799311.59368517,735834.124775093,0.273788376276982
"1","2017","Stratum_1"," [kg]",131747.319098091,69306.9270281598,0.605133459362523
"1","2018","Stratum_1"," [kg]",3936064.51876732,1011113.11352645,0.268452027834379
"1","2019","Stratum_1"," [kg]",3388230.74195774,1008827.02448625,0.309544014637806
"1","2020","Stratum_1"," [kg]",131747.319098091,69306.9270281598,0.605133459362523
"1","2021","Stratum_1"," [kg]",572622.186613725,256203.073115864,0.479355395218129
