figure_number,text section cited in,figure_description,caption,alt_text
1,Background,bluefish migration,Conceptual model of bluefish seasonal migrations.,"A map of the east coast United States and Northwest Atlantic Ocean. Bluefish seasonal migrations are outlined on the map. Spring bluefish groups are located in the northern (Delaware to Massachusetts) and southern (North Carolina to Maryland) Mid Atlantic Bight. Bluefish in the northern MAB in the late spring to late fall overwinter in Florida if they were less than 45cm in length and overwinter offshore in the MAB if they were over 45cm in length. Bluefish in the southern MAB consist of both transients and residents. Bluefish found in southern Florida are mostly less than 45cm and have the highest abundance in winter. Spawning occurs in the Southern Atlantic Bight in the spring, in the MAB in the summer, and possibly in Florida in the fall and winter."
2,Background,,Total annual recreational sales from Atlantic coastal states over 2014-2018 in billions of 2020 constant U.S. Dollars. Data obtained from the Fisheries Economics of the United States Reports (2014-2018). Values were adjusted using the Gross Domestic Product Implicit Price Deflator.,Total annual recreational sales from Atlantic coastal states over 2014-2018 in billions of 2020 constant U.S. Dollars. Data obtained from the Fisheries Economics of the United States Reports (2014-2018). Values were adjusted using the Gross Domestic Product Implicit Price Deflator. Values range from a low of around $13 billion in 2015 to just under $18 billion in 2018.
3,Background,,Total annual recreational sales by Atlantic Coastal state from 2014-2018 in millions of 2020 constant U.S. Dollars. Data obtained from the Fisheries Economics of the United States. Values were adjusted using the Gross Domestic Product Implicit Price Deflator.,"Total annual recreational sales by Atlantic Coastal state from 2014-2018 in millions of 2020 constant U.S. Dollars. Data obtained from the Fisheries Economics of the United States. Values were adjusted using the Gross Domestic Product Implicit Price Deflator. East Florida, North Carolina and New Jersey had the highest sales over the time series."
4,Background,,Recreational bluefish catch from Atlantic Coastal states over 2010-2021. Data acquired from the Marine Recreational Information Program (MRIP) query tool in January 2022.,Recreational bluefish catch from Atlantic Coastal states over 2010-2021. Data acquired from the Marine Recreational Information Program (MRIP) query tool in January 2022. Bluefish catch followed an overall decreasing trend over the time series.
5,Background,,Recreational bluefish catch box plots from 2010-2021 by Atlantic coastal states. Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.,Recreational bluefish catch box plots from 2010-2021 by Atlantic coastal states. Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.North Carolina and Florida have the highest median recreational bluefish catch with median values of 10.6 and 9.8 million fish.
6,Background,,Number of directed recreational bluefish trips from Atlantic coastal states (2010-2021). Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.,Number of directed recreational bluefish trips from Atlantic coastal states (2010-2021). Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022. The number of directed recreational bluefish trips off the Atlantic Coast are lowest in the last 4 years in the time series relative to the entire 11-year period .
7,Background,,Proportion of regional recreational bluefish catch in number of fish by fishing mode (2010-2021). Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.,"Proportion of regional recreational bluefish catch in number of fish by fishing mode (2010-2021). Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.Over the past decade, recreational bluefish catch has been primarily caught by shore-based fishing efforts or on private/rental boats across the Atlantic Coast."
8,Background,,Proportion of total recreational bluefish catch by month grouping and region (2010-2021). Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022,Proportion of total recreational bluefish catch by month grouping and region (2010-2021). Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022. The season in which recreational bluefish are caught differs across the regions.
9,Background,,Recreational bluefish catch as a percent of total recreational catch by region over 2010-2021. Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.,"Recreational bluefish catch as a percent of total recreational catch by region over 2010-2021. Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022. Bluefish catch, as a percent of total recreational catch, follows an overall decreasing trend from 2010 to 2021 along the Atlantic Coast."
10,Background,,Box plots of recreational bluefish catch as a percent of total recreational catch by sate over 2010-2021. Data source: Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022. Conneticut has the hightes percent of bluefish catch relative to other species and New Hampshire the lowest.,Box plots of recreational bluefish catch as a percent of total recreational catch by sate over 2010-2021. Data source: Data retrieved from the Marine Recreational Information Program (MRIP) query tool in January 2022.
11,Diet,NEFSC diet results,"Bluefish diet by decade (all regions and bluefish sizes) from the Northeast Fisheries Science Center (NEFSC) bottom trawl survey, 1973-2020.","Stacked bar chart showing the proportion of each prey item in bluefish diet. Unidentified fish comprise 20-25% of diet each decade. Anchovies, butterfish and longfin squid were eaten in all decades, while shortfin squid, herring, and sandlance are common in only some decades."
12,Diet,NEAMAP diet results,"Length frequency of bluefish samples taken for diet analysis in the NEAMAP survey, 2007-2020.","Bar graph with length on the x-axis and count on the y-axis. There is a bimodal peak at ~15cm and ~25cm, with lengths tapering off to very low counts of fish larger than 30cm or smaller than 10cm."
13,Diet,NEAMAP diet results,"Bluefish prey species in the NEAMAP survey, 2007-2020.",Bar graph with prey species on the x-axis and percent weight in bluefish diet on the y-axis. Bay anchovy and unidentified fish are the most common prey items.
14,Diet,ChesMMAP diet results,"Length frequency of bluefish samples taken for diet analysis in the ChesMMAP survey, 2002-2020.","Bar graph with length on the x-axis and count on the y-axis. There is a peak at ~25cm, with lengths tapering off to very low counts of fish larger than 40cm or smaller than 10cm."
15,Diet,ChesMMAP diet results,"Bluefish prey species in the ChesMMAP survey, 2002-2020.",Bar graph with prey species on the x-axis and percent weight in bluefish diet on the y-axis. Bay anchovy and unidentified fish are the most common prey items.
16,Environment and distribution,map of bluefish eggs,"Map of bluefish egg distribution in the Northwest Atlantic, as collected in the Marine Resources Monitoring, Assessment and Prediction (MARMAP) program (1977-1987) and inthe Ecosystem Monitoring (EcoMon) program (1993 only). No eggs were collected in January through April or September through December.","Four maps showing coordinates where bluefish eggs were observed in the Northwest Atlantic in May, June, July, and August. In May, two tows collected bluefish eggs off of North Carolina, In June, 28 tows collected bluefish eggs between New Jersey and North Carolina. In July, 132 tows collected bluefish eggs between southern Cape Cod and North Carolina. In August, 53 tows collected bluefish eggs between Rhode Island and North Carolina."
17,Environment and distribution,map of bluefish larvae,"Map of bluefish larvae distribution in the Northwest Atlantic, as collected in the Herring and Sand Lance Program (1988-1994), Georges Bank Global Ocean Ecosystems Dynamics (1995-1999), MARMAP (1977-1987), and EcoMon (1992 – present). No larvae were collected in February or March, or October through December. There was one positive tow in January (not shown).","Six maps showing coordinates where bluefish larvae were observed in the Northwest Atlantic in April, May, June, July, August, and September. In April, 13 tows collected bluefish larvae between North Carolina and Florida. In May, 105 tows collected blufish larvae between New Jersey and Florida. In June, 218 tows collected bluefish larvae between Massachusetts and North Carolina. In July, 1010 tows collected bluefish larvae between Georges Bank and North Carolina. In August, 915 tows collected bluefish larvae between the Gulf of Maine and North Carolina. in September, 96 tows collected bluefish larvae between Long Island and North Carolina."
18,Environment and distribution,Northeast catch and CPUE coastwide distribution,"Mean proportion of coastwide catch, mean state catch (lbs), standardized CPUE, and unstandardized CPUE for Northeast states in March through December.","Four line plots showing catch metrics for five MRIP waves (March/April, May/June, July/August, September/October, and November/December) in Maine, New Hampshire, Massachusetts, Rhode Island, and Connecticut. The top plot shows the mean proportion of coastwide catch in each wave for each state. Maine and New Hampshire have proportions near zero in all months reported. Massachusetts, Rhode Island, and Connecticut have the highest proportions in July/August (>0.05), and the lowest proportions in March/April and November/December (near zero). The second plot shows mean state catch in pounds, which follows a similar pattern to the mean proportion of coastwide catch. The bottom two plots show standardized and unstandardized CPUE, which has a maximum in September/October and a minimum in March/April and May/June."
19,Environment and distribution,Mid Atlantic catch and CPUE coastwide distribution,"Mean proportion of coastwide catch, mean state catch (lbs), standardized CPUE, and unstandardized CPUE for Mid Atlantic states in March through December.","Four line plots showing catch metrics for five MRIP waves (March/April, May/June, July/August, September/October, and November/December) in New York, New Jersey, Delaware, Maryland, and Virginia. The top plot shows the mean proportion of coastwide catch in each wave for each state. Delaware, Maryland, and Virginia have proportions less than 0.1 in all months reported. New York and New Jersey have the highest proportions in May/June through September/October (>0.1), and the lowest proportions in March/April and November/December (<0.1). The second plot shows mean state catch in pounds, which follows a similar pattern to the mean proportion of coastwide catch. The bottom two plots show standardized and unstandardized CPUE. New York has the highest CPUEs in July/August and the lowest CPUEs in March/April and November/December. New Jersey and Virginia have relatively constant CPUEs throughout the year. Delaware and Maryland have the highest CPUEs in September/October and the lowest CPUEs in the other months."
20,Environment and distribution,Southeast catch and CPUE coastwide distribution,"Mean proportion of coastwide catch, mean state catch (lbs), standardized CPUE, and unstandardized CPUE for Southeast states in January through December.","Four line plots showing catch metrics for six MRIP waves (January/February, March/April, May/June, July/August, September/October, and November/December) in North Carolina, South Carolina, Georgia, and Florida. The top plot shows the mean proportion of coastwide catch in each wave for each state. South Carolina and Georgia have proportions less than 0.1 in all months reported. North Carolina has the highest proportions in May/June and November/December(>0.25) and the lowest proportions in January/February and July/August (<0.1). Florida has the highest proportions in January through April and November/December (>0.45)and the lowest proportions in the other months (<0.1). The second plot shows mean state catch in pounds, which follows a similar pattern to the mean proportion of coastwide catch. The bottom two plots show standardized and unstandardized CPUE. North Carolina has the highest CPUEs out of all the states, and within North Carolina, the highest CPUEs occur in January through June and in November/December. South Carolina, Georgia, and Florida all have fairly constant CPUEs throughout the year."
21,Environment and distribution,map of small bluefish,"Map of small (<=30.3cm) bluefish distribution in the Northwest Atlantic, as collected in the NMFS bottom trawl survey, which has sampled most years since 1963.","Twelve maps showing where small bluefish were observed in the Northwest Atlantic in every month of the year. No small bluefish were observed in January. In February, tows observed small bluefish off of North Carolina. In March, tows observed small bluefish between Virginia and South Carolina. In April, tows observed small bluefish between New Jersey and Florida. In May, tows observed small bluefish off of North Carolina. In June, tows observed small bluefish between Delaware and Maryland. In July, tows observed small bluefish between Georges Bank and North Carolina. In August, tows observed small bluefish between Massachusetts and North Carolina. In September, tows observed small bluefish between Massachusetts and North Carolina. In October, tows observed small bluefish between the Gulf of Maine and North Carolina. In November, tows observed small bluefish between Massachusetts and Florida. In December, tows observed small bluefish between North Carolina and South Carolina."
22,Environment and distribution,map of medium bluefish,"Map of medium (30.3-50.0cm) bluefish distribution in the Northwest Atlantic, as collected in the NMFS bottom trawl survey, which has sampled most years since 1963.","Twelve maps showing where medium bluefish were observed in the Northwest Atlantic in every month of the year. No medium bluefish were observed in January. In February, tows observed medium bluefish between Delaware and North Carolina. In March, tows observed medium bluefish between New Jersey and North Carolina. In April, tows observed medium bluefish between New Jersey and North Carolina. In May, tows observed medium bluefish off of Long Island. No medium bluefish were observed in June. In July, tows observed medium bluefish between New Jersey and North Carolina. In August, tows observed medium bluefish between Massachusetts and North Carolina. In September, tows observed medium bluefish between Georges Bank and North Carolina. In October, tows observed medium bluefish between the Georges Bank and North Carolina. In November, tows observed medium bluefish between Maine and Florida. No medium bluefish were observed in December."
23,Environment and distribution,map of large bluefish,"Map of large (>50.0cm) bluefish distribution in the Northwest Atlantic, as collected in the NMFS bottom trawl survey, which has sampled most years since 1963.","Twelve maps showing where large bluefish were observed in the Northwest Atlantic in every month of the year. No large bluefish were observed in January. In February, tows observed large bluefish between Georges Bank and North Carolina. In March and April, tows observed large bluefish between New Jersey and North Carolina. In May, tows observed large bluefish off of North Carolina. In June, tows observed large bluefish off of Maryland. In July, tows observed large bluefish between Georges Bank and New Jersey. In August, tows observed large bluefish between Georges Bank and Maryland. In September, tows observed large bluefish between Georges Bank and North Carolina. In October and November, tows observed large bluefish between Massachusetts Bay, Georges Bank, and North Carolina. No large bluefish were observed in December."
24,Environment and distribution,NEFSC all survey,Bluefish length distributions in all NEFSC NMFS bottom trawl samples.,Eleven plots showing bluefish length distributions in the NMFS bottom trawl in February through December. Please refer to the report text for a description of the data.
25,Environment and distribution,NH state survey,Bluefish length distributions in the New Hampshire Juvenile Finfish Survey.,Five plots showing bluefish length distributions in the New Hampshire Juvenile Finfish Survey in June through October. Please refer to the report text for a description of the data.
26,Environment and distribution,MA state survey,Bluefish length distributions in Massachusetts-based surveys and samples.,Seven plots showing bluefish length distributions in Massachusetts-based surveys in April through October. Please refer to the report text for a description of the data.
27,Environment and distribution,RI state survey,Bluefish length distributions in Rhode Island-based surveys and samples.,Twelve plots showing bluefish length distributions in Connecticut-based surveys in January through December. Please refer to the report text for a description of the data.
28,Environment and distribution,CT state survey,Bluefish length distributions in Connecticut-based surveys and samples.,Seven plots showing bluefish length distributions in Connecticut-based surveys in May through November. Please refer to the report text for a description of the data.
29,Environment and distribution,NY state survey,Bluefish length distributions in New York-based surveys and samples.,Twelve plots showing bluefish length distributions in New York-based surveys in January through December. Please refer to the report text for a description of the data.
30,Environment and distribution,NJ state survey,Bluefish length distributions in New Jersey-based surveys and samples.,Twelve plots showing bluefish length distributions in New Jersey-based surveys in January through December. Please refer to the report text for a description of the data.
31,Environment and distribution,DE state survey,Bluefish length distributions in NEAMAP survey samples taken in Delaware.,"Three plots showing bluefish length distributions in the NEAMAP survey in Delaware in May, October, and November. Please refer to the report text for a description of the data."
