DATA_VALUE,YEAR,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
7495306,2000,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
8040479,2001,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6426777,2002,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6744655,2003,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7508686,2004,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6526814,2005,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6590688,2006,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7019252,2007,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7474907,2008,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6443720,2009,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6967791,2010,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
5079765,2011,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4663610,2012,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4108090,2013,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4769187,2014,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
3994618,2015,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4065307,2016,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
3863409,2017,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2183374,2018,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2799876,2019,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2160581,2020,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2065157,2021,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
0.62,2000,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.60,2001,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.62,2002,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.53,2003,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.49,2004,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.56,2005,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.56,2006,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.54,2007,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.61,2008,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.62,2009,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.66,2010,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.77,2011,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.86,2012,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.84,2013,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.83,2014,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
